id,Rank,Major,Total,Men,Women,Major_category,ShareWomen,Employed,Unemployed,Unemployment_rate,Median
1,1.0,Petroleum Engineering,2339.0,2057.0,282.0,Engineering,0.120564344,1976.0,37.0,0.018380527,110000.0
2,2.0,Mining And Mineral Engineering,756.0,679.0,77.0,Engineering,0.101851852,640.0,85.0,0.117241379,75000.0
3,3.0,Metallurgical Engineering,856.0,725.0,131.0,Engineering,0.153037383,648.0,16.0,0.024096386,73000.0
4,4.0,Naval Architecture And Marine Engineering,1258.0,1123.0,135.0,Engineering,0.107313196,758.0,40.0,0.050125313,70000.0
5,5.0,Chemical Engineering,32260.0,21239.0,11021.0,Engineering,0.341630502,25694.0,1672.0,0.061097712,65000.0
6,6.0,Nuclear Engineering,2573.0,2200.0,373.0,Engineering,0.144966965,1857.0,400.0,0.177226407,65000.0
7,7.0,Actuarial Science,3777.0,2110.0,1667.0,Business,0.441355573,2912.0,308.0,0.095652174,62000.0
8,8.0,Astronomy And Astrophysics,1792.0,832.0,960.0,Physical Sciences,0.535714286,1526.0,33.0,0.021167415,62000.0
9,9.0,Mechanical Engineering,91227.0,80320.0,10907.0,Engineering,0.119558903,76442.0,4650.0,0.057342278,60000.0
10,10.0,Electrical Engineering,81527.0,65511.0,16016.0,Engineering,0.196450256,61928.0,3895.0,0.059173845,60000.0
11,11.0,Computer Engineering,41542.0,33258.0,8284.0,Engineering,0.199412643,32506.0,2275.0,0.065409275,60000.0
12,12.0,Aerospace Engineering,15058.0,12953.0,2105.0,Engineering,0.139792801,11391.0,794.0,0.065162085,60000.0
13,13.0,Biomedical Engineering,14955.0,8407.0,6548.0,Engineering,0.437846874,10047.0,1019.0,0.09208386,60000.0
14,14.0,Materials Science,4279.0,2949.0,1330.0,Engineering,0.310820285,3307.0,78.0,0.023042836,60000.0
15,15.0,Engineering Mechanics Physics And Science,4321.0,3526.0,795.0,Engineering,0.183985189,3608.0,23.0,0.006334343,58000.0
16,16.0,Biological Engineering,8925.0,6062.0,2863.0,Engineering,0.320784314,6170.0,589.0,0.087143069,57100.0
17,17.0,Industrial And Manufacturing Engineering,18968.0,12453.0,6515.0,Engineering,0.343473218,15604.0,699.0,0.042875544,57000.0
18,18.0,General Engineering,61152.0,45683.0,15469.0,Engineering,0.252959838,44931.0,2859.0,0.059824231,56000.0
19,19.0,Architectural Engineering,2825.0,1835.0,990.0,Engineering,0.350442478,2575.0,170.0,0.061930783,54000.0
20,20.0,Court Reporting,1148.0,877.0,271.0,Law & Public Policy,0.236062718,930.0,11.0,0.011689692,54000.0
21,21.0,Computer Science,128319.0,99743.0,28576.0,Computers & Mathematics,0.222695002,102087.0,6884.0,0.063172771,53000.0
22,23.0,Electrical Engineering Technology,11565.0,8181.0,3384.0,Engineering,0.292607004,8587.0,824.0,0.087557114,52000.0
23,24.0,Materials Engineering And Materials Science,2993.0,2020.0,973.0,Engineering,0.325091881,2449.0,70.0,0.027788805,52000.0
24,25.0,Management Information Systems And Statistics,18713.0,13496.0,5217.0,Business,0.278790146,16413.0,1015.0,0.058239614,51000.0
25,26.0,Civil Engineering,53153.0,41081.0,12072.0,Engineering,0.227117943,43041.0,3270.0,0.070609574,50000.0
26,27.0,Construction Services,18498.0,16820.0,1678.0,Industrial Arts & Consumer Services,0.090712509,16318.0,1042.0,0.060023041,50000.0
27,28.0,Operations Logistics And E-Commerce,11732.0,7921.0,3811.0,Business,0.32483805,10027.0,504.0,0.047858703,50000.0
28,29.0,Miscellaneous Engineering,9133.0,7398.0,1735.0,Engineering,0.189970437,7428.0,597.0,0.074392523,50000.0
29,30.0,Public Policy,5978.0,2639.0,3339.0,Law & Public Policy,0.558548009,4547.0,670.0,0.128426299,50000.0
30,31.0,Environmental Engineering,4047.0,2662.0,1385.0,Engineering,0.342228811,2983.0,308.0,0.093588575,50000.0
31,32.0,Engineering Technologies,3600.0,2695.0,905.0,Engineering,0.251388889,2799.0,163.0,0.055030385,50000.0
32,33.0,Miscellaneous Fine Arts,3340.0,1970.0,1370.0,Arts,0.410179641,2914.0,286.0,0.089375,50000.0
33,34.0,Geological And Geophysical Engineering,720.0,488.0,232.0,Engineering,0.322222222,604.0,49.0,0.075038285,50000.0
34,35.0,Nursing,209394.0,21773.0,187621.0,Health,0.896018988,180903.0,8497.0,0.044862724,48000.0
35,36.0,Finance,174506.0,115030.0,59476.0,Business,0.340824957,145696.0,9413.0,0.060686356,47000.0
36,37.0,Economics,139247.0,89749.0,49498.0,Social Science,0.355469059,104117.0,11452.0,0.099092317,47000.0
37,38.0,Business Economics,13302.0,7575.0,5727.0,Business,0.430536761,10914.0,1165.0,0.096448381,46000.0
38,39.0,Industrial Production Technologies,4631.0,3477.0,1154.0,Engineering,0.24919024,4428.0,129.0,0.028308097,46000.0
39,40.0,"Nuclear, Industrial Radiology, And Biological Technologies",2116.0,528.0,1588.0,Physical Sciences,0.75047259,1778.0,137.0,0.07154047,46000.0
40,41.0,Accounting,198633.0,94519.0,104114.0,Business,0.524152583,165527.0,12411.0,0.069749014,45000.0
41,42.0,Mathematics,72397.0,39956.0,32441.0,Computers & Mathematics,0.448098678,58118.0,2884.0,0.047277138,45000.0
42,43.0,Computer And Information Systems,36698.0,27392.0,9306.0,Computers & Mathematics,0.253583302,28459.0,2934.0,0.093460326,45000.0
43,44.0,Physics,32142.0,23080.0,9062.0,Physical Sciences,0.281936407,25302.0,1282.0,0.048224496,45000.0
44,45.0,Medical Technologies Technicians,15914.0,3916.0,11998.0,Health,0.75392736,13150.0,505.0,0.03698279,45000.0
45,46.0,Information Sciences,11913.0,9005.0,2908.0,Computers & Mathematics,0.244103081,9881.0,639.0,0.060741445,45000.0
46,47.0,Statistics And Decision Science,6251.0,2960.0,3291.0,Computers & Mathematics,0.526475764,4247.0,401.0,0.086273666,45000.0
47,48.0,Applied Mathematics,4939.0,2794.0,2145.0,Computers & Mathematics,0.434298441,3854.0,385.0,0.090823307,45000.0
48,49.0,Pharmacology,1762.0,515.0,1247.0,Biology & Life Science,0.707718502,1144.0,107.0,0.085531575,45000.0
49,50.0,Oceanography,2418.0,752.0,1666.0,Physical Sciences,0.688999173,1638.0,99.0,0.056994819,44700.0
50,51.0,Engineering And Industrial Management,2906.0,2400.0,506.0,Engineering,0.174122505,2125.0,74.0,0.03365166,44000.0
51,52.0,Medical Assisting Services,11123.0,803.0,10320.0,Health,0.927807246,9168.0,407.0,0.042506527,42000.0
52,53.0,Mathematics And Computer Science,609.0,500.0,109.0,Computers & Mathematics,0.178981938,559.0,0.0,0.0,42000.0
53,54.0,Computer Programming And Data Processing,4168.0,3046.0,1122.0,Computers & Mathematics,0.269193858,3257.0,419.0,0.11398259,41300.0
54,55.0,Cognitive Science And Biopsychology,3831.0,1667.0,2164.0,Biology & Life Science,0.56486557,2741.0,223.0,0.075236167,41000.0
55,56.0,School Student Counseling,818.0,119.0,699.0,Education,0.854523227,730.0,88.0,0.107579462,41000.0
56,57.0,International Relations,28187.0,10345.0,17842.0,Social Science,0.632986838,21190.0,2271.0,0.096798943,40100.0
57,58.0,General Business,234590.0,132238.0,102352.0,Business,0.436301633,190183.0,14946.0,0.072861468,40000.0
58,59.0,Architecture,46420.0,25463.0,20957.0,Engineering,0.451464886,34158.0,4366.0,0.113331949,40000.0
59,60.0,International Business,25894.0,10624.0,15270.0,Business,0.589711902,19660.0,2092.0,0.096175064,40000.0
60,61.0,Pharmacy Pharmaceutical Sciences And Administration,23551.0,8697.0,14854.0,Health,0.630716318,16620.0,977.0,0.055520827,40000.0
61,62.0,Molecular Biology,18300.0,7426.0,10874.0,Biology & Life Science,0.59420765,11581.0,1067.0,0.084361164,40000.0
62,63.0,Miscellaneous Business & Medical Administration,17947.0,10285.0,7662.0,Business,0.42692372,14826.0,1150.0,0.071982974,40000.0
63,64.0,Agriculture Production And Management,14240.0,9658.0,4582.0,Agriculture & Natural Resources,0.321769663,12323.0,649.0,0.050030836,40000.0
64,65.0,General Agriculture,10399.0,6053.0,4346.0,Agriculture & Natural Resources,0.4179248,8884.0,178.0,0.019642463,40000.0
65,66.0,Miscellaneous Engineering Technologies,8804.0,7043.0,1761.0,Engineering,0.200022717,7502.0,416.0,0.05253852,40000.0
66,67.0,Mechanical Engineering Related Technologies,4790.0,4419.0,371.0,Engineering,0.077453027,4186.0,250.0,0.056357078,40000.0
67,68.0,Genetics,3635.0,1761.0,1874.0,Biology & Life Science,0.515543329,2463.0,87.0,0.034117647,40000.0
68,69.0,Miscellaneous Social Sciences,3283.0,1499.0,1784.0,Social Science,0.543405422,2727.0,215.0,0.073079538,40000.0
69,70.0,United States History,3079.0,1756.0,1323.0,Humanities & Liberal Arts,0.429684963,2787.0,138.0,0.047179487,40000.0
70,71.0,Industrial And Organizational Psychology,3014.0,1075.0,1939.0,Psychology & Social Work,0.643331121,2343.0,286.0,0.108786611,40000.0
71,72.0,Agricultural Economics,2439.0,1749.0,690.0,Agriculture & Natural Resources,0.282902829,2174.0,182.0,0.077249576,40000.0
72,73.0,Physical Sciences,1436.0,894.0,542.0,Physical Sciences,0.377437326,1146.0,42.0,0.035353535,40000.0
73,74.0,Military Technologies,124.0,124.0,0.0,Industrial Arts & Consumer Services,0.0,0.0,0.0,0.0,40000.0
74,75.0,Chemistry,66530.0,32923.0,33607.0,Physical Sciences,0.505140538,48535.0,2769.0,0.0539724,39000.0
75,76.0,"Electrical, Mechanical, And Precision Technologies And Production",2435.0,1869.0,566.0,Industrial Arts & Consumer Services,0.232443532,2107.0,64.0,0.029479503,38400.0
76,77.0,Business Management And Administration,329927.0,173809.0,156118.0,Business,0.473189524,276234.0,21502.0,0.072218341,38000.0
77,78.0,Marketing And Marketing Research,205211.0,78857.0,126354.0,Business,0.615727227,178862.0,11663.0,0.061215064,38000.0
78,79.0,Political Science And Government,182621.0,93880.0,88741.0,Social Science,0.485929877,133454.0,15022.0,0.101174601,38000.0
79,80.0,Geography,18480.0,11404.0,7076.0,Social Science,0.382900433,14057.0,1799.0,0.113458628,38000.0
80,81.0,Microbiology,15232.0,6383.0,8849.0,Biology & Life Science,0.580948004,9685.0,693.0,0.066775872,38000.0
81,82.0,Computer Administration Management And Security,8066.0,6607.0,1459.0,Computers & Mathematics,0.180882718,6509.0,721.0,0.099723375,37500.0
82,83.0,Biochemical Sciences,39107.0,18951.0,20156.0,Biology & Life Science,0.515406449,25678.0,2249.0,0.080531385,37400.0
83,84.0,Botany,1329.0,626.0,703.0,Biology & Life Science,0.52896915,1010.0,0.0,0.0,37000.0
84,85.0,Computer Networking And Telecommunications,7613.0,5291.0,2322.0,Computers & Mathematics,0.305004597,6144.0,1100.0,0.151849807,36400.0
85,86.0,Geology And Earth Science,10972.0,5813.0,5159.0,Physical Sciences,0.470196865,8296.0,677.0,0.075448568,36200.0
86,87.0,Human Resources And Personnel Management,24497.0,6184.0,18313.0,Business,0.747560926,20760.0,1315.0,0.059569649,36000.0
87,88.0,Pre-Law And Legal Studies,13528.0,4435.0,9093.0,Law & Public Policy,0.672161443,9762.0,757.0,0.071965016,36000.0
88,89.0,Miscellaneous Health Medical Professions,13386.0,1589.0,11797.0,Health,0.881293889,10076.0,893.0,0.08141125,36000.0
89,90.0,Public Administration,5629.0,2947.0,2682.0,Law & Public Policy,0.476461183,4158.0,789.0,0.1594906,36000.0
90,91.0,Geosciences,1978.0,809.0,1169.0,Physical Sciences,0.591001011,1441.0,36.0,0.024373731,36000.0
91,92.0,Social Psychology,1386.0,413.0,973.0,Psychology & Social Work,0.702020202,1080.0,33.0,0.029649596,36000.0
92,93.0,Environmental Science,25965.0,10787.0,15178.0,Biology & Life Science,0.584556133,20859.0,1779.0,0.078584681,35600.0
93,94.0,Communications,213996.0,70619.0,143377.0,Communications & Journalism,0.669998505,179633.0,14602.0,0.075176976,35000.0
94,95.0,Criminal Justice And Fire Protection,152824.0,80231.0,72593.0,Law & Public Policy,0.47501047,125393.0,11268.0,0.082452199,35000.0
95,96.0,Commercial Art And Graphic Design,103480.0,32041.0,71439.0,Arts,0.690365288,83483.0,8947.0,0.096797577,35000.0
96,97.0,Journalism,72619.0,23736.0,48883.0,Communications & Journalism,0.673143392,61022.0,4535.0,0.069176442,35000.0
97,98.0,Multi-Disciplinary Or General Science,62052.0,27015.0,35037.0,Physical Sciences,0.564639335,46138.0,2727.0,0.055806815,35000.0
98,99.0,Advertising And Public Relations,53162.0,12862.0,40300.0,Communications & Journalism,0.758060269,45326.0,3305.0,0.067960766,35000.0
99,100.0,Area Ethnic And Civilization Studies,31195.0,8739.0,22456.0,Humanities & Liberal Arts,0.719858952,24629.0,1668.0,0.063429289,35000.0
100,101.0,Special Needs Education,28739.0,2682.0,26057.0,Education,0.906677337,24639.0,1067.0,0.041507819,35000.0
101,102.0,Physiology,22060.0,8422.0,13638.0,Biology & Life Science,0.618223028,14643.0,1088.0,0.0691628,35000.0
102,103.0,Criminology,19879.0,10031.0,9848.0,Social Science,0.495397153,16181.0,1743.0,0.097243919,35000.0
103,104.0,Nutrition Sciences,18909.0,2563.0,16346.0,Health,0.864456079,13217.0,975.0,0.068700676,35000.0
104,105.0,Health And Medical Administrative Services,18109.0,4266.0,13843.0,Health,0.764426528,15419.0,1518.0,0.089626262,35000.0
105,106.0,Communication Technologies,18035.0,11431.0,6604.0,Computers & Mathematics,0.366176878,14779.0,2006.0,0.119511469,35000.0
106,107.0,Transportation Sciences And Technologies,15150.0,13257.0,1893.0,Industrial Arts & Consumer Services,0.124950495,12266.0,962.0,0.072724524,35000.0
107,108.0,Natural Resources Management,13773.0,8617.0,5156.0,Agriculture & Natural Resources,0.374355623,11797.0,842.0,0.066619195,35000.0
108,109.0,Neuroscience,13663.0,4944.0,8719.0,Biology & Life Science,0.63814682,9087.0,463.0,0.048481675,35000.0
109,110.0,Multi/Interdisciplinary Studies,12296.0,2817.0,9479.0,Interdisciplinary,0.770901106,9821.0,749.0,0.070860927,35000.0
110,111.0,Atmospheric Sciences And Meteorology,4043.0,2744.0,1299.0,Physical Sciences,0.321296067,3431.0,78.0,0.022228555,35000.0
111,112.0,Forestry,3607.0,3156.0,451.0,Agriculture & Natural Resources,0.125034655,3007.0,322.0,0.096725743,35000.0
112,113.0,Soil Science,685.0,476.0,209.0,Agriculture & Natural Resources,0.305109489,613.0,0.0,0.0,35000.0
113,114.0,General Education,143718.0,26893.0,116825.0,Education,0.812876606,118241.0,7195.0,0.057359929,34000.0
114,115.0,History,141951.0,78253.0,63698.0,Humanities & Liberal Arts,0.448732309,105646.0,11176.0,0.095666912,34000.0
115,116.0,French German Latin And Other Common Foreign Language Studies,48246.0,12835.0,35411.0,Humanities & Liberal Arts,0.733967583,38315.0,3132.0,0.075566386,34000.0
116,117.0,Intercultural And International Studies,24650.0,8575.0,16075.0,Humanities & Liberal Arts,0.652129817,18824.0,1718.0,0.083633531,34000.0
117,118.0,Social Science Or History Teacher Education,20198.0,9950.0,10248.0,Education,0.507376968,17700.0,1012.0,0.054082941,34000.0
118,119.0,Community And Public Health,19735.0,4103.0,15632.0,Health,0.792095262,14512.0,1833.0,0.112144387,34000.0
119,120.0,Mathematics Teacher Education,14237.0,3872.0,10365.0,Education,0.728032591,13115.0,216.0,0.016202835,34000.0
120,121.0,Educational Administration And Supervision,804.0,280.0,524.0,Education,0.651741294,703.0,0.0,0.0,34000.0
121,122.0,Health And Medical Preparatory Programs,12740.0,5521.0,7219.0,Health,0.566640502,7052.0,529.0,0.069779712,33500.0
122,123.0,Miscellaneous Biology,10706.0,4747.0,5959.0,Biology & Life Science,0.556603774,7767.0,483.0,0.058545455,33500.0
123,124.0,Biology,280709.0,111762.0,168947.0,Biology & Life Science,0.601858152,182295.0,13874.0,0.070724732,33400.0
124,125.0,Sociology,115433.0,32510.0,82923.0,Social Science,0.718364766,92721.0,8608.0,0.084951001,33000.0
125,126.0,Mass Media,52824.0,24704.0,28120.0,Communications & Journalism,0.532333788,44679.0,4410.0,0.089836827,33000.0
126,127.0,Treatment Therapy Professions,48491.0,13487.0,35004.0,Health,0.721865913,37861.0,2409.0,0.059821207,33000.0
127,128.0,Hospitality Management,43647.0,15204.0,28443.0,Business,0.651659908,36728.0,2393.0,0.061169193,33000.0
128,129.0,Language And Drama Education,30471.0,3741.0,26730.0,Education,0.877227528,26033.0,1379.0,0.050306435,33000.0
129,130.0,Linguistics And Comparative Language And Literature,16601.0,4416.0,12185.0,Humanities & Liberal Arts,0.733991928,11165.0,1302.0,0.10443571,33000.0
130,131.0,Miscellaneous Education,10150.0,3654.0,6496.0,Education,0.64,8691.0,547.0,0.059211951,33000.0
131,132.0,Interdisciplinary Social Sciences,9916.0,2337.0,7579.0,Social Science,0.76432029,7444.0,757.0,0.092305816,33000.0
132,133.0,Ecology,9154.0,3878.0,5276.0,Biology & Life Science,0.576360061,7585.0,437.0,0.054475193,33000.0
133,134.0,Secondary Teacher Education,17125.0,6820.0,10305.0,Education,0.601751825,15116.0,833.0,0.05222898,32500.0
134,135.0,General Medical And Health Services,33599.0,7574.0,26025.0,Health,0.774576624,24406.0,2183.0,0.082101621,32400.0
135,136.0,Philosophy And Religious Studies,54814.0,31967.0,22847.0,Humanities & Liberal Arts,0.416809574,40157.0,4267.0,0.096051684,32200.0
136,137.0,Art And Music Education,34181.0,10732.0,23449.0,Education,0.6860244,30007.0,1206.0,0.038637747,32100.0
137,138.0,English Language And Literature,194673.0,58227.0,136446.0,Humanities & Liberal Arts,0.70089843,149180.0,14345.0,0.08772359,32000.0
138,139.0,Elementary Education,170862.0,13029.0,157833.0,Education,0.923745479,149339.0,7297.0,0.046585715,32000.0
139,140.0,Physical Fitness Parks Recreation And Leisure,125074.0,62181.0,62893.0,Industrial Arts & Consumer Services,0.502846315,103078.0,5593.0,0.051467273,32000.0
140,141.0,Liberal Arts,71369.0,22339.0,49030.0,Humanities & Liberal Arts,0.686992952,54844.0,4657.0,0.078267592,32000.0
141,142.0,Film Video And Photographic Arts,38761.0,22357.0,16404.0,Arts,0.423208896,31433.0,3718.0,0.10577224,32000.0
142,143.0,General Social Sciences,12920.0,5079.0,7841.0,Social Science,0.606888545,9602.0,1108.0,0.103454715,32000.0
143,144.0,Plant Science And Agronomy,7416.0,4897.0,2519.0,Agriculture & Natural Resources,0.339670982,6594.0,314.0,0.045454545,32000.0
144,145.0,Science And Computer Teacher Education,6483.0,2049.0,4434.0,Education,0.683942619,5362.0,266.0,0.047263682,32000.0
145,146.0,Psychology,393735.0,86648.0,307087.0,Psychology & Social Work,0.779933204,307933.0,28169.0,0.083810867,31500.0
146,147.0,Music,60633.0,29909.0,30724.0,Arts,0.506720763,47662.0,3918.0,0.075959674,31000.0
147,148.0,Physical And Health Education Teaching,28213.0,15670.0,12543.0,Education,0.444582285,23794.0,1920.0,0.074667496,31000.0
148,149.0,Art History And Criticism,21030.0,3240.0,17790.0,Humanities & Liberal Arts,0.845934379,17579.0,1128.0,0.060298284,31000.0
149,150.0,Fine Arts,74440.0,24786.0,49654.0,Arts,0.667033853,59679.0,5486.0,0.084186296,30500.0
150,151.0,Family And Consumer Sciences,58001.0,5166.0,52835.0,Industrial Arts & Consumer Services,0.91093257,46624.0,3355.0,0.067128194,30000.0
151,152.0,Social Work,53552.0,5137.0,48415.0,Psychology & Social Work,0.904074544,45038.0,3329.0,0.06882792,30000.0
152,153.0,Animal Sciences,21573.0,5347.0,16226.0,Agriculture & Natural Resources,0.752143884,17112.0,917.0,0.050862499,30000.0
153,154.0,Visual And Performing Arts,16250.0,4133.0,12117.0,Arts,0.745661538,12870.0,1465.0,0.102197419,30000.0
154,155.0,Teacher Education: Multiple Levels,14443.0,2734.0,11709.0,Education,0.810704147,13076.0,496.0,0.03654583,30000.0
155,156.0,Miscellaneous Psychology,9628.0,1936.0,7692.0,Psychology & Social Work,0.798919817,7653.0,419.0,0.05190783,30000.0
156,157.0,Human Services And Community Organization,9374.0,885.0,8489.0,Psychology & Social Work,0.90558993,8294.0,326.0,0.037819026,30000.0
157,158.0,Humanities,6652.0,2013.0,4639.0,Humanities & Liberal Arts,0.697384245,5052.0,372.0,0.068584071,30000.0
158,159.0,Theology And Religious Vocations,30207.0,18616.0,11591.0,Humanities & Liberal Arts,0.383719006,24202.0,1617.0,0.062628297,29000.0
159,160.0,Studio Arts,16977.0,4754.0,12223.0,Arts,0.719974083,13908.0,1368.0,0.089552239,29000.0
160,161.0,Cosmetology Services And Culinary Arts,10510.0,4364.0,6146.0,Industrial Arts & Consumer Services,0.584776403,8650.0,510.0,0.055676856,29000.0
161,162.0,Miscellaneous Agriculture,1488.0,404.0,1084.0,Agriculture & Natural Resources,0.728494624,1290.0,82.0,0.059766764,29000.0
162,163.0,Anthropology And Archeology,38844.0,11376.0,27468.0,Humanities & Liberal Arts,0.707136237,29633.0,3395.0,0.102791571,28000.0
163,164.0,Communication Disorders Sciences And Services,38279.0,1225.0,37054.0,Health,0.967998119,29763.0,1487.0,0.047584,28000.0
164,165.0,Early Childhood Education,37589.0,1167.0,36422.0,Education,0.968953683,32551.0,1360.0,0.040104981,28000.0
165,166.0,Other Foreign Languages,11204.0,3472.0,7732.0,Humanities & Liberal Arts,0.690110675,7052.0,846.0,0.107115726,27500.0
166,167.0,Drama And Theater Arts,43249.0,14440.0,28809.0,Arts,0.666119448,36165.0,3040.0,0.07754113,27000.0
167,168.0,Composition And Rhetoric,18953.0,7022.0,11931.0,Humanities & Liberal Arts,0.629504564,15053.0,1340.0,0.081742207,27000.0
168,169.0,Zoology,8409.0,3050.0,5359.0,Biology & Life Science,0.637293376,6259.0,304.0,0.04632028,26000.0
169,170.0,Educational Psychology,2854.0,522.0,2332.0,Psychology & Social Work,0.817098809,2125.0,148.0,0.065112187,25000.0
170,171.0,Clinical Psychology,2838.0,568.0,2270.0,Psychology & Social Work,0.799859056,2101.0,368.0,0.149048198,25000.0
171,172.0,Counseling Psychology,4626.0,931.0,3695.0,Psychology & Social Work,0.798746217,3777.0,214.0,0.053620646,23400.0
172,173.0,Library Science,1098.0,134.0,964.0,Education,0.877959927,742.0,87.0,0.104945718,22000.0
