id,Rank,Country,Score,Electoral process and pluralism,Functio­ning of govern­ment,Political partici­pation,Political culture,Civil liberties,Regime type,Region
1,1.0,Norway,10.0,10.0,10.0,10.0,10.0,10.0,Full democracy,Western Europe
2,2.0,Iceland,10.0,10.0,9.0,9.0,10.0,10.0,Full democracy,Western Europe
3,3.0,Sweden,9.0,10.0,10.0,8.0,10.0,9.0,Full democracy,Western Europe
4,4.0,New Zealand,9.0,10.0,9.0,9.0,8.0,10.0,Full democracy,Asia & Australasia
5,5.0,Finland,9.0,10.0,9.0,9.0,9.0,10.0,Full democracy,Western Europe
6,6.0,Ireland,9.0,10.0,8.0,8.0,10.0,10.0,Full democracy,Western Europe
7,7.0,Denmark,9.0,10.0,9.0,8.0,9.0,9.0,Full democracy,Western Europe
8,7.0,Canada,9.0,10.0,10.0,8.0,9.0,10.0,Full democracy,North America
9,9.0,Australia,9.0,10.0,9.0,8.0,9.0,10.0,Full democracy,Asia & Australasia
10,10.0,Switzerland,9.0,10.0,9.0,8.0,9.0,9.0,Full democracy,Western Europe
11,11.0,Netherlands,9.0,10.0,9.0,8.0,9.0,9.0,Full democracy,Western Europe
12,12.0,Luxembourg,9.0,10.0,9.0,7.0,9.0,10.0,Full democracy,Western Europe
13,13.0,Germany,9.0,10.0,9.0,8.0,8.0,9.0,Full democracy,Western Europe
14,14.0,United Kingdom,9.0,10.0,8.0,9.0,8.0,9.0,Full democracy,Western Europe
15,15.0,Uruguay,8.0,10.0,9.0,6.0,8.0,10.0,Full democracy,Latin America
16,16.0,Austria,8.0,10.0,8.0,8.0,7.0,9.0,Full democracy,Western Europe
17,16.0,Spain,8.0,10.0,7.0,8.0,8.0,9.0,Full democracy,Western Europe
18,18.0,Mauritius,8.0,9.0,8.0,6.0,9.0,9.0,Full democracy,Sub-Saharan Africa
19,19.0,Costa Rica,8.0,10.0,8.0,7.0,8.0,9.0,Full democracy,Latin America
20,20.0,France,8.0,10.0,8.0,8.0,7.0,9.0,Full democracy,Western Europe
21,21.0,Chile,8.0,10.0,9.0,5.0,8.0,9.0,Full democracy,Latin America
22,22.0,Portugal,8.0,10.0,8.0,6.0,8.0,9.0,Full democracy,Western Europe
23,23.0,South Korea[n 2],8.0,9.0,8.0,7.0,8.0,8.0,Flawed democracy,Asia & Australasia
24,24.0,Japan,8.0,9.0,8.0,7.0,8.0,9.0,Flawed democracy,Asia & Australasia
25,25.0,United States,8.0,9.0,7.0,8.0,8.0,8.0,Flawed democracy,North America
26,26.0,Malta,8.0,9.0,8.0,6.0,8.0,9.0,Flawed democracy,Western Europe
27,27.0,Estonia,8.0,10.0,8.0,7.0,7.0,9.0,Flawed democracy,Eastern Europe
28,28.0,Israel,8.0,9.0,8.0,9.0,8.0,6.0,Flawed democracy,Middle East & North Africa
29,29.0,Botswana,8.0,9.0,7.0,6.0,8.0,9.0,Flawed democracy,Sub-Saharan Africa
30,30.0,Cape Verde,8.0,9.0,7.0,7.0,7.0,9.0,Flawed democracy,Sub-Saharan Africa
31,31.0,Taiwan,8.0,10.0,8.0,6.0,6.0,9.0,Flawed democracy,Asia & Australasia
32,32.0,Czech Republic,8.0,10.0,7.0,7.0,7.0,9.0,Flawed democracy,Eastern Europe
33,33.0,Belgium,8.0,10.0,8.0,5.0,7.0,9.0,Flawed democracy,Western Europe
34,34.0,Cyprus,8.0,9.0,6.0,7.0,7.0,9.0,Flawed democracy,Western Europe
35,35.0,Italy,8.0,10.0,6.0,8.0,6.0,8.0,Flawed democracy,Western Europe
36,36.0,Slovenia,8.0,10.0,7.0,7.0,6.0,8.0,Flawed democracy,Eastern Europe
37,36.0,Lithuania,8.0,10.0,6.0,6.0,6.0,9.0,Flawed democracy,Eastern Europe
38,38.0,Latvia,7.0,10.0,6.0,6.0,7.0,9.0,Flawed democracy,Eastern Europe
39,39.0,Greece,7.0,10.0,5.0,7.0,8.0,9.0,Flawed democracy,Western Europe
40,40.0,South Africa,7.0,7.0,8.0,8.0,5.0,8.0,Flawed democracy,Sub-Saharan Africa
41,41.0,Timor-Leste,7.0,10.0,6.0,6.0,7.0,8.0,Flawed democracy,Asia & Australasia
42,42.0,Slovakia,7.0,10.0,7.0,6.0,6.0,8.0,Flawed democracy,Eastern Europe
43,43.0,Malaysia,7.0,9.0,8.0,7.0,6.0,6.0,Flawed democracy,Asia & Australasia
44,43.0,Trinidad and Tobago,7.0,10.0,7.0,6.0,6.0,7.0,Flawed democracy,Latin America
45,45.0,Colombia,7.0,9.0,7.0,6.0,6.0,9.0,Flawed democracy,Latin America
46,46.0,Panama,7.0,10.0,6.0,7.0,5.0,8.0,Flawed democracy,Latin America
47,47.0,Bulgaria,7.0,9.0,6.0,7.0,4.0,8.0,Flawed democracy,Eastern Europe
48,48.0,Argentina,7.0,9.0,5.0,6.0,6.0,8.0,Flawed democracy,Latin America
49,49.0,Suriname,7.0,9.0,6.0,7.0,5.0,8.0,Flawed democracy,Latin America
50,50.0,Jamaica,7.0,9.0,7.0,4.0,6.0,8.0,Flawed democracy,Latin America
51,51.0,India,7.0,9.0,7.0,7.0,6.0,7.0,Flawed democracy,Asia & Australasia
52,52.0,Brazil,7.0,10.0,5.0,6.0,5.0,8.0,Flawed democracy,Latin America
53,53.0,Tunisia,7.0,9.0,6.0,7.0,6.0,6.0,Flawed democracy,Middle East & North Africa
54,54.0,Philippines,7.0,9.0,5.0,7.0,4.0,7.0,Flawed democracy,Asia & Australasia
55,55.0,Ghana,7.0,8.0,6.0,7.0,6.0,6.0,Flawed democracy,Sub-Saharan Africa
56,55.0,Hungary,7.0,9.0,6.0,5.0,6.0,7.0,Flawed democracy,Eastern Europe
57,57.0,Poland,7.0,9.0,6.0,6.0,4.0,7.0,Flawed democracy,Eastern Europe
58,58.0,Peru,7.0,9.0,5.0,6.0,6.0,8.0,Flawed democracy,Latin America
59,59.0,Croatia,7.0,9.0,6.0,6.0,5.0,7.0,Flawed democracy,Eastern Europe
60,60.0,Dominican Republic,7.0,9.0,5.0,6.0,5.0,7.0,Flawed democracy,Latin America
61,60.0,Lesotho,7.0,9.0,5.0,7.0,6.0,7.0,Flawed democracy,Sub-Saharan Africa
62,62.0,Mongolia,7.0,9.0,6.0,6.0,5.0,7.0,Flawed democracy,Asia & Australasia
63,63.0,Romania,6.0,9.0,6.0,6.0,4.0,8.0,Flawed democracy,Eastern Europe
64,64.0,Indonesia,6.0,8.0,7.0,6.0,6.0,6.0,Flawed democracy,Asia & Australasia
65,65.0,Namibia,6.0,7.0,5.0,7.0,6.0,8.0,Flawed democracy,Sub-Saharan Africa
66,66.0,Serbia,6.0,8.0,5.0,6.0,5.0,7.0,Flawed democracy,Eastern Europe
67,67.0,Ecuador,6.0,9.0,5.0,6.0,4.0,7.0,Flawed democracy,Latin America
68,68.0,Thailand,6.0,7.0,5.0,6.0,6.0,6.0,Flawed democracy,Asia & Australasia
69,69.0,Sri Lanka,6.0,7.0,6.0,6.0,6.0,6.0,Flawed democracy,Asia & Australasia
70,70.0,Paraguay,6.0,9.0,6.0,5.0,4.0,7.0,Flawed democracy,Latin America
71,71.0,El Salvador,6.0,9.0,5.0,6.0,4.0,7.0,Flawed democracy,Latin America
72,71.0,Guyana,6.0,7.0,5.0,6.0,5.0,7.0,Flawed democracy,Latin America
73,73.0,Mexico,6.0,8.0,6.0,7.0,3.0,6.0,Flawed democracy,Latin America
74,74.0,Papua New Guinea,6.0,7.0,6.0,4.0,6.0,8.0,Flawed democracy,Asia & Australasia
75,75.0,Hong Kong,6.0,4.0,4.0,6.0,8.0,9.0,Flawed democracy,Asia & Australasia
76,75.0,Singapore,6.0,4.0,8.0,5.0,6.0,7.0,Flawed democracy,Asia & Australasia
77,77.0,North Macedonia,6.0,7.0,5.0,7.0,4.0,7.0,Hybrid regime,Eastern Europe
78,78.0,Ukraine,6.0,7.0,3.0,7.0,6.0,6.0,Hybrid regime,Eastern Europe
79,79.0,Albania,6.0,7.0,5.0,4.0,5.0,8.0,Hybrid regime,Eastern Europe
80,80.0,Bangladesh,6.0,8.0,6.0,6.0,4.0,5.0,Hybrid regime,Asia & Australasia
81,81.0,Fiji,6.0,7.0,5.0,6.0,6.0,6.0,Hybrid regime,Asia & Australasia
82,82.0,Senegal,6.0,6.0,6.0,4.0,6.0,6.0,Hybrid regime,Sub-Saharan Africa
83,83.0,Moldova,6.0,7.0,5.0,6.0,4.0,7.0,Hybrid regime,Eastern Europe
84,84.0,Montenegro,6.0,6.0,5.0,6.0,4.0,7.0,Hybrid regime,Eastern Europe
85,85.0,Madagascar,6.0,8.0,4.0,6.0,6.0,5.0,Hybrid regime,Sub-Saharan Africa
86,86.0,Armenia,6.0,8.0,5.0,6.0,3.0,6.0,Hybrid regime,Eastern Europe
87,87.0,Malawi,6.0,6.0,4.0,5.0,6.0,6.0,Hybrid regime,Sub-Saharan Africa
88,88.0,Liberia,5.0,7.0,3.0,6.0,6.0,6.0,Hybrid regime,Sub-Saharan Africa
89,89.0,Georgia,5.0,8.0,3.0,6.0,4.0,6.0,Hybrid regime,Eastern Europe
90,89.0,Honduras,5.0,8.0,4.0,4.0,4.0,6.0,Hybrid regime,Latin America
91,91.0,Bhutan,5.0,9.0,7.0,3.0,4.0,4.0,Hybrid regime,Asia & Australasia
92,92.0,Nepal,5.0,5.0,5.0,5.0,6.0,6.0,Hybrid regime,Asia & Australasia
93,93.0,Guatemala,5.0,7.0,5.0,4.0,4.0,6.0,Hybrid regime,Latin America
94,94.0,Kenya,5.0,4.0,6.0,7.0,6.0,4.0,Hybrid regime,Sub-Saharan Africa
95,95.0,Tanzania,5.0,6.0,5.0,5.0,6.0,4.0,Hybrid regime,Sub-Saharan Africa
96,96.0,Morocco,5.0,5.0,5.0,6.0,6.0,4.0,Hybrid regime,Middle East & North Africa
97,97.0,Benin,5.0,5.0,6.0,4.0,6.0,5.0,Hybrid regime,Sub-Saharan Africa
98,97.0,Zambia,5.0,5.0,3.0,4.0,7.0,6.0,Hybrid regime,Sub-Saharan Africa
99,99.0,Uganda,5.0,4.0,4.0,4.0,7.0,6.0,Hybrid regime,Sub-Saharan Africa
100,100.0,Mali,5.0,6.0,3.0,4.0,6.0,6.0,Hybrid regime,Sub-Saharan Africa
101,101.0,Kyrgyzstan,5.0,6.0,3.0,7.0,4.0,5.0,Hybrid regime,Eastern Europe
102,102.0,Bosnia and Herzegovina,5.0,6.0,3.0,6.0,4.0,6.0,Hybrid regime,Eastern Europe
103,102.0,Sierra Leone,5.0,7.0,3.0,3.0,6.0,5.0,Hybrid regime,Sub-Saharan Africa
104,104.0,Bolivia,5.0,5.0,4.0,5.0,4.0,7.0,Hybrid regime,Latin America
105,105.0,Haiti,5.0,5.0,2.0,4.0,6.0,6.0,Hybrid regime,Latin America
106,106.0,Lebanon,4.0,4.0,2.0,7.0,5.0,5.0,Hybrid regime,Middle East & North Africa
107,107.0,Gambia,4.0,4.0,4.0,3.0,6.0,4.0,Hybrid regime,Sub-Saharan Africa
108,108.0,Pakistan,4.0,6.0,6.0,2.0,3.0,5.0,Hybrid regime,Asia & Australasia
109,109.0,Nigeria,4.0,5.0,4.0,3.0,4.0,4.0,Hybrid regime,Sub-Saharan Africa
110,110.0,Turkey,4.0,3.0,5.0,5.0,5.0,2.0,Hybrid regime,Western Europe
111,111.0,Ivory Coast,4.0,4.0,3.0,3.0,6.0,4.0,Hybrid regime,Sub-Saharan Africa
112,112.0,Burkina Faso,4.0,4.0,3.0,4.0,5.0,4.0,Hybrid regime,Sub-Saharan Africa
113,113.0,Algeria,4.0,3.0,3.0,5.0,5.0,4.0,Hybrid regime,Middle East & North Africa
114,114.0,Jordan,4.0,4.0,4.0,4.0,4.0,4.0,Authoritarian,Middle East & North Africa
115,114.0,Kuwait,4.0,4.0,4.0,4.0,4.0,4.0,Authoritarian,Middle East & North Africa
116,116.0,Mauritania,4.0,4.0,4.0,5.0,3.0,4.0,Authoritarian,Sub-Saharan Africa
117,117.0,Palestine,4.0,3.0,0.0,8.0,4.0,4.0,Authoritarian,Middle East & North Africa
118,118.0,Iraq,4.0,5.0,0.0,7.0,5.0,2.0,Authoritarian,Middle East & North Africa
119,119.0,Angola,4.0,2.0,3.0,6.0,5.0,3.0,Authoritarian,Sub-Saharan Africa
120,120.0,Mozambique,4.0,3.0,2.0,5.0,5.0,4.0,Authoritarian,Sub-Saharan Africa
121,121.0,Gabon,4.0,3.0,2.0,4.0,5.0,4.0,Authoritarian,Sub-Saharan Africa
122,122.0,Myanmar,4.0,3.0,4.0,3.0,6.0,2.0,Authoritarian,Asia & Australasia
123,122.0,Nicaragua,4.0,1.0,3.0,4.0,6.0,4.0,Authoritarian,Latin America
124,124.0,Cambodia,4.0,1.0,5.0,3.0,6.0,3.0,Authoritarian,Asia & Australasia
125,125.0,Ethiopia,3.0,0.0,4.0,6.0,5.0,3.0,Authoritarian,Sub-Saharan Africa
126,126.0,Togo,3.0,3.0,2.0,3.0,5.0,3.0,Authoritarian,Sub-Saharan Africa
127,127.0,Niger,3.0,3.0,1.0,3.0,4.0,5.0,Authoritarian,Sub-Saharan Africa
128,128.0,Qatar,3.0,0.0,4.0,2.0,6.0,4.0,Authoritarian,Middle East & North Africa
129,129.0,Rwanda,3.0,1.0,4.0,3.0,4.0,3.0,Authoritarian,Sub-Saharan Africa
130,129.0,Zimbabwe,3.0,0.0,3.0,4.0,6.0,3.0,Authoritarian,Sub-Saharan Africa
131,131.0,Comoros,3.0,2.0,2.0,4.0,4.0,4.0,Authoritarian,Sub-Saharan Africa
132,132.0,Eswatini,3.0,1.0,3.0,3.0,6.0,4.0,Authoritarian,Sub-Saharan Africa
133,132.0,Guinea,3.0,4.0,0.0,4.0,4.0,3.0,Authoritarian,Sub-Saharan Africa
134,134.0,Republic of the Congo,3.0,2.0,3.0,4.0,4.0,3.0,Authoritarian,Sub-Saharan Africa
135,134.0,Russia,3.0,2.0,2.0,5.0,3.0,4.0,Authoritarian,Eastern Europe
136,136.0,Vietnam,3.0,0.0,3.0,4.0,6.0,3.0,Authoritarian,Asia & Australasia
137,137.0,Egypt,3.0,3.0,3.0,3.0,4.0,2.0,Authoritarian,Middle East & North Africa
138,137.0,Oman,3.0,0.0,4.0,3.0,4.0,4.0,Authoritarian,Middle East & North Africa
139,139.0,Kazakhstan,3.0,1.0,2.0,4.0,4.0,3.0,Authoritarian,Eastern Europe
140,140.0,Venezuela,3.0,0.0,2.0,5.0,4.0,3.0,Authoritarian,Latin America
141,141.0,Afghanistan,3.0,3.0,1.0,4.0,3.0,4.0,Authoritarian,Asia & Australasia
142,141.0,Cameroon,3.0,2.0,3.0,3.0,4.0,2.0,Authoritarian,Sub-Saharan Africa
143,143.0,Cuba,3.0,0.0,4.0,3.0,4.0,3.0,Authoritarian,Latin America
144,144.0,Djibouti,3.0,0.0,1.0,4.0,6.0,3.0,Authoritarian,Sub-Saharan Africa
145,145.0,United Arab Emirates,3.0,0.0,4.0,2.0,5.0,3.0,Authoritarian,Middle East & North Africa
146,146.0,Azerbaijan,3.0,1.0,3.0,3.0,4.0,4.0,Authoritarian,Eastern Europe
147,147.0,Sudan,3.0,0.0,2.0,6.0,5.0,1.0,Authoritarian,Middle East & North Africa
148,148.0,Guinea-Bissau,3.0,5.0,0.0,3.0,3.0,2.0,Authoritarian,Sub-Saharan Africa
149,149.0,Bahrain,3.0,1.0,3.0,3.0,4.0,2.0,Authoritarian,Middle East & North Africa
150,150.0,Belarus,2.0,1.0,2.0,3.0,4.0,2.0,Authoritarian,Eastern Europe
151,151.0,Iran,2.0,0.0,3.0,4.0,3.0,1.0,Authoritarian,Middle East & North Africa
152,152.0,Eritrea,2.0,0.0,2.0,2.0,7.0,1.0,Authoritarian,Sub-Saharan Africa
153,153.0,China,2.0,0.0,4.0,3.0,3.0,1.0,Authoritarian,Asia & Australasia
154,154.0,Burundi,2.0,0.0,0.0,3.0,5.0,2.0,Authoritarian,Sub-Saharan Africa
155,155.0,Laos,2.0,0.0,3.0,2.0,5.0,1.0,Authoritarian,Asia & Australasia
156,156.0,Libya,2.0,0.0,0.0,3.0,4.0,3.0,Authoritarian,Middle East & North Africa
157,157.0,Uzbekistan,2.0,0.0,2.0,2.0,5.0,1.0,Authoritarian,Eastern Europe
158,158.0,Yemen,2.0,0.0,0.0,4.0,5.0,1.0,Authoritarian,Middle East & North Africa
159,159.0,Saudi Arabia,2.0,0.0,3.0,2.0,3.0,1.0,Authoritarian,Middle East & North Africa
160,159.0,Tajikistan,2.0,0.0,1.0,2.0,6.0,1.0,Authoritarian,Eastern Europe
161,161.0,Equatorial Guinea,2.0,0.0,0.0,3.0,4.0,1.0,Authoritarian,Sub-Saharan Africa
162,162.0,Turkmenistan,2.0,0.0,1.0,2.0,5.0,1.0,Authoritarian,Eastern Europe
163,163.0,Chad,2.0,0.0,0.0,2.0,4.0,3.0,Authoritarian,Sub-Saharan Africa
164,164.0,Syria,1.0,0.0,0.0,3.0,4.0,0.0,Authoritarian,Middle East & North Africa
165,165.0,Central African Republic,1.0,1.0,0.0,1.0,2.0,2.0,Authoritarian,Sub-Saharan Africa
166,166.0,Democratic Republic of the Congo,1.0,0.0,0.0,2.0,3.0,1.0,Authoritarian,Sub-Saharan Africa
167,167.0,North Korea,1.0,0.0,3.0,2.0,1.0,0.0,Authoritarian,Asia & Australasia
